0,1299828805706,1
1000,1299828805708,338
2000,1299828805710,702
3000,1299828805712,1094
4000,1299828805715,1469
5000,1299828805718,1878
6000,1299828805722,2232
7000,1299828805725,2717
8000,1299828805730,3100
9000,1299828805735,3510
10000,1299828805740,3870
11000,1299828805745,4256
12000,1299828805751,4554
13000,1299828805758,4947
14000,1299828805764,5313
15000,1299828805772,5776
16000,1299828805780,6228
17000,1299828805787,6547
18000,1299828805796,6943
19000,1299828805805,7350
20000,1299828805814,7747
21000,1299828805824,8141
22000,1299828805835,8474
23000,1299828805845,8895
24000,1299828805857,9314
25000,1299828805868,9688
26000,1299828805880,10056
27000,1299828805893,10440
28000,1299828805905,10777
29000,1299828805919,11174
30000,1299828805932,11528
31000,1299828805946,11920
32000,1299828805960,12281
33000,1299828805975,12704
34000,1299828805991,13154
35000,1299828806006,13419
36000,1299828806023,13750
37000,1299828806038,14119
38000,1299828806055,14646
39000,1299828806073,15041
40000,1299828806091,15398
41000,1299828806108,15729
42000,1299828806128,15967
43000,1299828806146,16484
44000,1299828806166,16845
45000,1299828806185,17249
46000,1299828806206,17710
47000,1299828806226,18165
48000,1299828806247,18562
49000,1299828806268,18946
50000,1299828806291,19343
